"","Tripleurospermum inodorum","Silene dioica","Cirsium arvense","Chaerophyllum temulentum","Angelica sylvestris","Tanacetum vulgare","Melilotus albus","Trifolium repens","Achillea millefolium","Cirsium vulgare","Lapsana communis","Senecio jacobea","Verbascum thapsus","Stachys sylvatica","Vicia hirsuta","Eupatorium cannabinum","Myosotis palustris","Stachys palustris","Sonchus palustris","Echium vulgare","Epilobium montanum","Geranium robertianum","Ranunculus repens","Aegopodium podagraria","Daucus carota","Juncus effusus","Lychnis flos-cuculi","Sonchus arvensis","Trifolium dubium","Vicia sepium","Allium scorodoprasum","Calystegia sepium","Chamomilla recutita","Malva sylvestris","Prunella vulgaris","Chrysanthemum maximum","Veronica agrestis","Cerastium glomeratum","Hypericum perforatum"
"Bombus ruderatus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceuthorrhynchus pollinarius",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceutorrhynchus rugulosus ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia albitarsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia impressa ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia velutina ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysogaster cemiteriorum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysomela fastuosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corticarina gibbosa ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enicmus transversus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
